name,id,subject,keywords,API_type,MD_standards
Global Record of Stocks and Fisheries,,"2 Life Sciences#203 Zoology#20303 Animal Ecology, Biodiversity and Ecosystem Research#21 Biology#3 Natural Sciences#318 Water Research#34 Geosciences (including Geography)",FIRMS#FishSource#Fishing Pressure (FIRMS Standard)#RAM#abundance#assessment unit#catch#fishery#fishing pressure#fishing unit#marine resource#stock,REST,
Employment Ontario Geo Hub,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,REST,
"United States Department of Agriculture, Economic Research Service, Data Products",,"1 Humanities and Social Sciences#112 Economics#11205 Statistics and Econometrics#12 Social and Behavioural Sciences#2 Life Sciences#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#23 Agriculture, Forestry, Horticulture and Veterinary Medicine",agricultural science#animal products#biotechnology#climate change#ecosystem#macroeconomics#nutrition,other,
ScienceRepository,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,FAIR#multidisciplinary,OAI-PMH#REST,DataCite Metadata Schema#Dublin Core
Ensembl Metazoa,FAIRsharing_doi:10.25504/FAIRsharing.c23cqq#MIR:00000204#RRID:SCR_000800#RRID:nif-0000-33714,"2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#204 Microbiology, Virology and Immunology#20401 Metabolism, Biochemistry and Genetics of Microorganisms#21 Biology#22 Medicine",DNA#RNA#bioinformatics#biology#eukaryota#gene models#genomics#multicellular organisms,FTP#REST#other,
Portal of Medical Data Models,DBIS:102110#FAIRsharing_DOI:10.25504/FAIRsharing.wnk2eq,2 Life Sciences#205 Medicine#22 Medicine,CRF#EHR#FAIR#case report forms#electronic health records,,
Correlates of War Project,,1 Humanities and Social Sciences#102 History#10203 Modern and Current History#11 Humanities,bilateral trade#colonial dependency#diplomatic exchange#formal alliances#militarized interstate disputes#territorial change#world religion,,
Toronto Police Service Public Safety Data Portal,,1 Humanities and Social Sciences#113 Jurisprudence#12 Social and Behavioural Sciences#3 Natural Sciences#4 Engineering Sciences,Major Crime Indicators - MCI#crime#fatal traffic collision#homicide#robbery#shootings#traffic,REST,
AlphaFold,,2 Life Sciences#201 Basic Biological and Medical Research#20101 Biochemistry#20107 Bioinformatics and Theoretical Biology#205 Medicine#21 Biology#22 Medicine,desease#drugs#human health#protein,FTP,
National Sleep Research Resource,FAIRsharing_DOI:10.25504/FAIRsharing.crjxwd#RRID:SCR_016576,1 Humanities and Social Sciences#12 Social and Behavioural Sciences#2 Life Sciences#205 Medicine#21 Biology#22 Medicine,Childhood Adenotonsillectomy Trial#Cleveland Children's Sleep and Health Study#Cleveland Family Study#Heart Biomarker Evaluation in Apnoe Treatment#Hispanic Community Health Study / Study of Latinos#Home Positive Airway Pressure#Honolulu-Asia Aging Study of Sleep Apnea#MrOS Sleep Study#Multi-Ethnic Study of Atherosclerosis#NHLBI#Sleep Heart Health Study#Study of Osteoporotic Fracture#biomedicine#circadian disorder#overnight plethysmography#overnight polysomnograms#physionet#sleep#sleep disorder#sleep medicine,,
Spec Patterns,,"4 Engineering Sciences#409 Computer Science#44 Computer Science, Electrical and System Engineering",finite-state model#finite-state verification#formal methods#property specification patterns,,
SOL Genomics Network,FAIRsharing_doi:10.25504/FAIRsharing.3zqvaf#RRID:SCR_004933#RRID:nlx_89764,2 Life Sciences#202 Plant Sciences#20207 Plant Genetics#21 Biology,EST#Solanaceae#chromosome#eggplant#gene#mRNA#molecular biology#pepper#potato#protein#sequencing#tomato#unigenes,FTP,
Panel on household finances,,1 Humanities and Social Sciences#112 Economics#12 Social and Behavioural Sciences,Germany#balance sheet#euro area#household finance#income#pension#wealth#work life,,
ISRIC - World Soil Information,,"2 Life Sciences#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#20701 Soil Sciences#23 Agriculture, Forestry, Horticulture and Veterinary Medicine#3 Natural Sciences#315 Geophysics and Geodesy#31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy#34 Geosciences (including Geography)",FAIR#OGC compliant#soil collections#soil data#soil mapping#web services,other,Dublin Core#ISO 19115
arthistoricum.net@heiDATA,,"1 Humanities and Social Sciences#103 Fine Arts, Music, Theatre and Media Studies#10301 Art History#11 Humanities#4 Engineering Sciences#410 Construction Engineering and Architecture#45 Construction Engineering and Architecture",European art history#commercial graphics#industrial design#photography,,DDI - Data Documentation Initiative#DDI - Data Documentation Initiative#Dublin Core
NCBI Epigenomics,RRID:nlx_151643,2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#20107 Bioinformatics and Theoretical Biology#21 Biology,Bioinformatics#Chromatin#DNA#DNA fingerprinting#Gene amplification#Gene libraries#Gene mapping#Genetic code#Genomics#Histones,FTP,
ARM Data Center,FAIRsharing_doi:10.25504/FAIRsharing.g84yb7,"3 Natural Sciences#313 Atmospheric Science and Oceanography#315 Geophysics and Geodesy#316 Geochemistry, Mineralogy and Crystallography#34 Geosciences (including Geography)#4 Engineering Sciences#409 Computer Science#40902 Software Technology#44 Computer Science, Electrical and System Engineering",aerosol life cycle#climate#cloud life cycle#global climate#ice#meteorology#polar year#radiative processes#snow,NetCDF#REST,CF (Climate and Forecast) Metadata Conventions#FGDC/CSDGM - Federal Geographic Data Committee Content Standard for Digital Geospatial Metadata
CosmoHub,,3 Natural Sciences#311 Astrophysics and Astronomy#32 Physics,ASDF#Apache Hadoop#Apache Hive#FITS#astrophysics#cosmology#data distribution#data exploration,,
Data Sharing for Demographic Research,FAIRsharing_doi:10.25504/FAIRsharing.v4mara#RRID:SCR_016310,"1 Humanities and Social Sciences#111 Social Sciences#11102 Empirical Social Research#112 Economics#11202 Economic and Social Policy#12 Social and Behavioural Sciences#2 Life Sciences#205 Medicine#20501 Epidemiology, Medical Biometry, Medical Informatics#20502 Public Health, Health Services Research, Social Medicine#22 Medicine",census data#demographic survey#family#health#immigration#migration#mortality#population#statistics,,DDI - Data Documentation Initiative
HUGO Gene Nomenclature Committee,FAIRsharing_doi:10.25504/FAIRsharing.29we0s#OMICS_06180#RRID:SCR_002827#RRID:nif-0000-02955,2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#20107 Bioinformatics and Theoretical Biology#21 Biology,bioinformatics#gene family#genetics#human genes#phenotype,REST,
"Digitale Sammlungen, Goethe-Universität Frankfurt am Main",,"1 Humanities and Social Sciences#103 Fine Arts, Music, Theatre and Media Studies#106 Non-European Languages and Cultures, Social and Cultural Anthropology, Jewish Studies and Religious Studies#10605 Religious Studies and Jewish Studies#108 Philosophy#11 Humanities#2 Life Sciences#21 Biology",Handwritings#Incunabula#Judaica#Judaism#Literary remains,,
ISER Centres and Surveys,,1 Humanities and Social Sciences#111 Social Sciences#11102 Empirical Social Research#112 Economics#12 Social and Behavioural Sciences,British Household Panel Survey - BHPS#ECASS#ESec#EUROMOD#Living in Newham#Microsocial change - MiSoC#NSSEC#Understanding Society - UKHLS,,DDI - Data Documentation Initiative
UniRef,OMICS_03879#RRID:SCR_010646#RRID:nlx_66133,2 Life Sciences#201 Basic Biological and Medical Research#20101 Biochemistry#20105 General Genetics#20107 Bioinformatics and Theoretical Biology#21 Biology,biological process#cellular component#coding sequence diversity#disease#protein sequences#sequence clusters,FTP,
AgBase,FAIRsharing_doi:10.25504/FAIRsharing.kn4ycg#OMICS_03223#RRID:SCR_007547#RRID:nif-0000-02537,"2 Life Sciences#202 Plant Sciences#20207 Plant Genetics#203 Zoology#20306 Animal Genetics, Cell and Developmental Biology#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#21 Biology#23 Agriculture, Forestry, Horticulture and Veterinary Medicine",agricultural plants#animals#microbes#parasites#post-genome,,
ESA Earth Online,,"3 Natural Sciences#311 Astrophysics and Astronomy#313 Atmospheric Science and Oceanography#315 Geophysics and Geodesy#31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy#32 Physics#34 Geosciences (including Geography)",Atmosphere#Copernicus#CryoSat#ERS-1#ERS-2#Envisat#GOCE#SMOS#agriculture#coasts#earth science#land#natural disasters#oceans#satellite#snow  & ice#water,,
The Health Improvement Network,,"1 Humanities and Social Sciences#111 Social Sciences#12 Social and Behavioural Sciences#2 Life Sciences#205 Medicine#20502 Public Health, Health Services Research, Social Medicine#22 Medicine",demographics#diagnoses#health service evaluation#life sciences#medical studies#patient data#practice data#prescribing#socioeconomics,,
"European Environment Agency, Datasets",,3 Natural Sciences#313 Atmospheric Science and Oceanography#318 Water Research#34 Geosciences (including Geography),Air pollution#Air quality#Biodiversity#Climate change#Coasts and seas#Energy#Green economy#Industry#Land use#Natural resources#Policy instruments#Soil#Urban environment#environmental data#environmental policy,,
Niagara Open Data,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,other,
Atlas of Living Australia,RRID:SCR_006467#RRID:nlx_152016#biodbcore-001772,"2 Life Sciences#202 Plant Sciences#20202 Plant Ecology and Ecosystem Analysis#20207 Plant Genetics#203 Zoology#20303 Animal Ecology, Biodiversity and Ecosystem Research#21 Biology#3 Natural Sciences#317 Geography#31701 Physical Geography#34 Geosciences (including Geography)","DNA#amphibians#biodiversity#birds#conservation of natural resources#fishes#images, photographic#insects#invertebrates#mammals#microorganisms#plants#reptiles",other,Darwin Core
Alberta Geological Survey,RRID:SCR_003402#RRID:nlx_157758,"3 Natural Sciences#315 Geophysics and Geodesy#316 Geochemistry, Mineralogy and Crystallography#34 Geosciences (including Geography)",CO2#coal#core samples#earthquakes#gas#geological hazards#geosystems#groundwater#mapping#oil,,
JOAD Dataverse,,1 Humanities and Social Sciences#101 Ancient Cultures#10104 Classical Archaeology#11 Humanities,archaeobotany#macrobotanical#paleoethnobotany,,DataCite Metadata Schema#Dublin Core
Alzheimer Disease & Frontotemporal Dementia Mutation Database,OMICS_16526#RRID:SCR_008286#RRID:nif-0000-23934,2 Life Sciences#201 Basic Biological and Medical Research#20101 Biochemistry#205 Medicine#20503 Human Genetics#206 Neurosciences#21 Biology#22 Medicine,dementia#gene#genome#mutation#neurodegenerative disease,,
GSA Data Repository,,3 Natural Sciences#34 Geosciences (including Geography),atmospheric science#geography#geology#geosciences#oceanography#water research,,
ChemBio Hub,,3 Natural Sciences#305 Biological Chemistry and Food Chemistry#30501 Biological and Biomimetic Chemistry#31 Chemistry,ChemiReg#InventoryReg#compound registration#consumables#laboratory organisation#peptides#vectors,,
CMU Graphics Lab Motion Capture Database,,"1 Humanities and Social Sciences#103 Fine Arts, Music, Theatre and Media Studies#11 Humanities#2 Life Sciences#201 Basic Biological and Medical Research#20108 Anatomy#20108 Anatomy#205 Medicine#20504 Physiology#21 Biology#22 Medicine",ViconIQ#biomechanics#coordination#human interaction#locomotion#motion,,
DOE Joint Genome Institute Genome  Portal,RRID:SCR_002383#RRID:nif-0000-21230,2 Life Sciences#21 Biology#3 Natural Sciences#31 Chemistry,fungal genomics#gene sequencing#metagenomics#microbial genomics#plant genomics,FTP#SWORD,
neuGRID,,2 Life Sciences#206 Neurosciences#22 Medicine,AI#brain#neuroimaging,,
Worldviews,,1 Humanities and Social Sciences#102 History#11 Humanities#2 Life Sciences,textbook research,OAI-PMH,Dublin Core
APID,FAIRSharing_doi:10.25504/fairsharing.8ye60e#RID:nlx_149321#RRID:SCR_008871,2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#20104 Structural Biology#20105 General Genetics#20107 Bioinformatics and Theoretical Biology#21 Biology,Interactome#cell biology#molecular biology#proteins interactions#proteome,,
Network for the Detection of Atmospheric Composition Change,,"3 Natural Sciences#304 Analytical Chemistry, Method Development (Chemistry)#309 Particles, Nuclei and Fields#31 Chemistry#313 Atmospheric Science and Oceanography#315 Geophysics and Geodesy#31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy#32 Physics#34 Geosciences (including Geography)",atmopsheric trace gases#atmospheric methane#particles#tropospheric ozone#uv radiation,FTP#FTP,
Medienarchiv der Zürcher Hochschule der Künste,,"1 Humanities and Social Sciences#103 Fine Arts, Music, Theatre and Media Studies#11 Humanities",art education#dance#design#film#fine arts#music#theatre,other,Repository-Developed Metadata Schemas
Genomes OnLine Database,FAIRsharing_doi:10.25504/FAIRsharing.5q1p14#OMICS_06148#RRID:SCR_002817#RRID:nif-0000-02918,2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#21 Biology#22 Medicine,archaea#bacteria#biogeography#eukaryota#genetics#genomics#metagenome#sequenzing,,
International Laser Ranging Service,,"3 Natural Sciences#315 Geophysics and Geodesy#31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy#34 Geosciences (including Geography)",earth's gravity field#geodesy#geophysics#gravitation#lunar laser ranging#navigation#polar motion#remote sensing#satellite#space,FTP#FTP,
CaltechDATA,FAIRsharing_doi:10.25504/FAIRsharing.S09se7,1 Humanities and Social Sciences#1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#34 Geosciences (including Geography)#4 Engineering Sciences,multidisciplinary,OAI-PMH#REST,DataCite Metadata Schema
CHILDdb,,"2 Life Sciences#204 Microbiology, Virology and Immunology#205 Medicine#206 Neurosciences#21 Biology#22 Medicine",cohort#development#diversity#environmental factors#genetic factors#health,,
ibeetle,,"2 Life Sciences#203 Zoology#20306 Animal Genetics, Cell and Developmental Biology#21 Biology",Red Flour Beetle#Tribolium Castaneum#larvae#metamorphosis#morphological defects#proteins#pupation#transcripts,REST,
ETH Travel Data Archive,,"3 Natural Sciences#317 Geography#34 Geosciences (including Geography)#4 Engineering Sciences#407 Systems Engineering#40704 Traffic and Transport Systems, Logistics#410 Construction Engineering and Architecture#41002 Urbanism, Spatial Planning, Transportation and Infrastructure Planning, Landscape Planning#44 Computer Science, Electrical and System Engineering#45 Construction Engineering and Architecture",civil engineering - planning#geography - network analysis#planning - forecasting#transport theory - statistical methods#transportation#transportation - models#transportation - social aspects#transportation and state - econometric models#transportation and state - planning#transportation engineering#transportation surveys,,DDI - Data Documentation Initiative
RDC at ZPID,FAIRsharing_doi:10.25504/FAIRsharing.a58029,"1 Humanities and Social Sciences#110 Psychology#11002 Developmental and Educational Psychology#11003 Social Psychology, Industrial and Organisational Psychology#11004 Differential Psychology, Clinical Psychology, Medical Psychology, Methodology#111 Social Sciences#12 Social and Behavioural Sciences",LOGIK#accuracy#intelligence#moral identity#psychology data#social perception#zero acquaintance condition,,DDI - Data Documentation Initiative#Dublin Core
York Digital Library,,"1 Humanities and Social Sciences#102 History#103 Fine Arts, Music, Theatre and Media Studies#107 Theology#108 Philosophy#11 Humanities",multimedia,,
The Adaptive Evolution Database,RRID:SCR_006930#RRID:nif-0000-03533,2 Life Sciences#201 Basic Biological and Medical Research#21 Biology,bioinformatics#epigenomics#evolution#genomics#molecular evolution#phylogenetic tree#phylogenomics#species diversification#taxonomy,other#other,
Forenames_histHub,,1 Humanities and Social Sciences#102 History#104 Linguistics#11 Humanities,Switzerland#forenames#main forms,,
MorphoBank,FAIRsharing_DOI:10.25504/FAIRsharing.1y63n8#RRID:SCR_003213#RRID:nlx_156938,"2 Life Sciences#203 Zoology#20301 Systematics and Morphology#20302 Evolution, Anthropology#21 Biology#3 Natural Sciences#314 Geology and Palaeontology#34 Geosciences (including Geography)",Homology of phenotypes#cladistic matrices#cladistic matrix#cladistics#comparative anatomy#evolutionary research#morphology#phylogenetic matrices#phylogenetic matrix#phylogenetic work#phylophenomics#tree of life,,Darwin Core
Open data and information Portal Canadian Space Agency,,2 Life Sciences#3 Natural Sciences#313 Atmospheric Science and Oceanography#31301 Atmospheric Science#34 Geosciences (including Geography),earth observation#space astronomy#space exploration#space weather#telemetry,other,
Sikt – Norwegian Agency for Shared Services in Education and Research,,1 Humanities and Social Sciences#111 Social Sciences#12 Social and Behavioural Sciences,international social science surveys#national research data archive#political system#qualitative social sciences#quantitative social science,,DDI - Data Documentation Initiative#Dublin Core
FactSage,,3 Natural Sciences#302 Chemical Solid State and Surface Research#30203 Theory and Modelling#303 Physical and Theoretical Chemistry#31 Chemistry,chemistry#compounds#light metal alloys#metals#oxides#salt#slags#steels,,
HEPData,FAIRsharing_doi:10.25504/FAIRsharing.awgyhy,"3 Natural Sciences#302 Chemical Solid State and Surface Research#307 Condensed Matter Physics#309 Particles, Nuclei and Fields#30901 Particles, Nuclei and Fields#31 Chemistry#32 Physics",Large Hadron Collider (LHC)#distributions of jet measures#fragmentation functions#high energy physics#particle physics#polarisation#scattering experiments#structure functions,,
Tilburg University Dataverse,,1 Humanities and Social Sciences#111 Social Sciences#112 Economics#113 Jurisprudence#12 Social and Behavioural Sciences,business#management#public health,,DDI - Data Documentation Initiative#Dublin Core
CLARIN Knowledge Centre for the Languages of Sweden,,1 Humanities and Social Sciences#104 Linguistics#11 Humanities,Nationella språkbanken#Språkbanken Sam#Swedish dialects#Swedish minority languages#Swedish sign language#languages of Sweden,,
Diabetes Study of Northern California,,"2 Life Sciences#205 Medicine#20502 Public Health, Health Services Research, Social Medicine#20517 Endocrinology, Diabetology#22 Medicine",VRO#Virtual Research Office#acute metabolic events#clinical trial#congestive heart failure#diabetes-related complications#end-stage renal disease#ethnicity#health communications#health literacy and language barriers#lower-extremity amputation#medication adherence#myocardial infarction#proliferative retinopathy#social disparities#stroke,,
Repositorio de Activos Digitales,,1 Humanities and Social Sciences#102 History#11 Humanities,archeology#conservation#cultural heritage#landscape,,Dublin Core
"National Archive of Criminal Justice Data, Terrorism and Preparedness Data Resource Center",,1 Humanities and Social Sciences#113 Jurisprudence#11305 Criminology#12 Social and Behavioural Sciences,national security#surveys#terrorism,,DDI - Data Documentation Initiative
NAWI Water DAMS,,"3 Natural Sciences#318 Water Research#31801 Hydrogeology, Hydrology, Limnology, Urban Water Management, Water Chemistry, Integrated Water Resources Management#34 Geosciences (including Geography)#4 Engineering Sciences",DOE#Department of Energy#NREL#National Renewable Energy Laboratory#desalination#hydropower#water#water innovation#water power#water research#water treatment#water treatment technology,NetCDF#REST#SPARQL,Dublin Core#FGDC/CSDGM - Federal Geographic Data Committee Content Standard for Digital Geospatial Metadata#ISO 19115
DigiMorph,RRID:SCR_004416#RRID:nlx_143746,"2 Life Sciences#203 Zoology#20301 Systematics and Morphology#20302 Evolution, Anthropology#21 Biology",fossils#invertebrates#meteorites#morphology#organisms#paleomorphology#paleontology#rocks#skeleton#stereolitography#vertebrates,,
Peking University Open Research Data,,"1 Humanities and Social Sciences#12 Social and Behavioural Sciences#4 Engineering Sciences#44 Computer Science, Electrical and System Engineering",Beijing Social and Economic Development Annual Survey (BAS)#Chinese Health and Retirement Longitudinal Survey (CHARLS)#Chinese elderly health factors follow-up survey (CLHLS)#Chinese family tracing survey (CFPS),REST#SWORD,DDI - Data Documentation Initiative
Grouplens Datasets,,"1 Humanities and Social Sciences#110 Psychology#111 Social Sciences#11101 Sociological Theory#12 Social and Behavioural Sciences#4 Engineering Sciences#44 Computer Science, Electrical and System Engineering",Book-Crossing#EachMovie#HetRec 2011#Jester#Movielens#WikiLens#hetrec2011-movielens-2k#ml-100K#ml-1m#movie recommender#recommender system,,
PhysioNet,FAIRsharing_doi:10.25504/FAIRsharing.bemzxg#OMICS_25293#RRID:SCR_007345#RRID:nif-0000-00250,"2 Life Sciences#205 Medicine#20502 Public Health, Health Services Research, Social Medicine#206 Neurosciences#22 Medicine",MIMIC-III#National Sleep Research Resource#PWAVE#aging#biomedical signals#cardiology#eICU#electrophysiology#heart#nervous system#nonlinear dynamics#physiological signals#physiology#sudden death,FTP,
UK Data Service,FAIRsharing_doi:10.25504/FAIRsharing.1ky0cs#ROR:0468x4e75,1 Humanities and Social Sciences#111 Social Sciences#11102 Empirical Social Research#112 Economics#11202 Economic and Social Policy#11205 Statistics and Econometrics#12 Social and Behavioural Sciences,administrative data#big data#business microdata#census data#cohort and longitudinal data#cross-national microdata#economic data#historical data#international macrodata#qualitative and mixed methods data#research data#social survey microdata,OAI-PMH,DDI - Data Documentation Initiative#DataCite Metadata Schema#Dublin Core#QuDEx - Qualitative Data Exchange Format
Measurements Of Pollution In The Troposphere,,"3 Natural Sciences#308 Optics, Quantum Optics and Physics of Atoms, Molecules and Plasmas#311 Astrophysics and Astronomy#313 Atmospheric Science and Oceanography#31301 Atmospheric Science#315 Geophysics and Geodesy#31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy#32 Physics#34 Geosciences (including Geography)",TERRA satellite#carbon monoxide#environmental sciences#pollution#troposphere,,
Open Archive for Miscellaneous Data,,"2 Life Sciences#201 Basic Biological and Medical Research#20107 Bioinformatics and Theoretical Biology#202 Plant Sciences#20207 Plant Genetics#203 Zoology#20303 Animal Ecology, Biodiversity and Ecosystem Research#21 Biology",epigenomics#genomics#image#metabolomics#proteomics#transcriptomics,FTP,Genome Metadata#Repository-Developed Metadata Schemas
Digitale Sammlungen,,1 Humanities and Social Sciences#4 Engineering Sciences,IIIF#OCR data#digital images#magazines#manuscripts#maps#newspapers#photographs#printed music#prints,,
Biosearch,,2 Life Sciences#21 Biology#3 Natural Sciences#313 Atmospheric Science and Oceanography#31302 Oceanography#34 Geosciences (including Geography),India#Indian Ocean#coastal water#marine biodiversity#oceanography,,
My Geo Hub,,3 Natural Sciences#34 Geosciences (including Geography),agriculture#climate#drought#geography#geology#hydrology#spatial planning,other,
CDC WONDER,,"2 Life Sciences#201 Basic Biological and Medical Research#205 Medicine#20501 Epidemiology, Medical Biometry, Medical Informatics#20502 Public Health, Health Services Research, Social Medicine#21 Biology#22 Medicine",AIDS#Tuberculosis#births#cancer#environmental health#health sciences#hospital discharges#morbidity#mortality#natality#population census#population survey#vaccination,other,
<odesi>,,1 Humanities and Social Sciences#111 Social Sciences#11104 Political Science#112 Economics#11205 Statistics and Econometrics#12 Social and Behavioural Sciences#2 Life Sciences#205 Medicine#22 Medicine,accounting and finance#business#census of canada#education#geography#health#marketing#polls#social sciences#statistics,,DDI - Data Documentation Initiative
NeuroMorpho.Org,FAIRsharing_doi:10.25504/FAIRsharing.drcy7r#OMICS_06594#RRID:SCR_002145#nif-0000-00006,2 Life Sciences#203 Zoology#20301 Systematics and Morphology#206 Neurosciences#21 Biology#22 Medicine,"animal neurons#brain region,#cell types#morphology#neurology#neurosciences",REST#other,Repository-Developed Metadata Schemas
Crustal Dynamics Data Information System,biodbcore-001568,3 Natural Sciences#311 Astrophysics and Astronomy#32 Physics,Doppler Orbitography#Global Navigation Satellite Systems GNSS#Radio-positioning Integrated by Satellite DORIS#Very Long Baseline Interferometry VLBI#geodesy#geodynamics#geophysics#ionospheric data#laser#laser ranging#orbit#satellites,FTP#FTP,
Junar,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,Open Data Dashboard#Software - as - a - Service SaaS#big data#cloud-based data management system#economics#government#open data#software,REST#SOAP#other,
PLEXdb,FAIRsharing_doi:10.25504/FAIRsharing.8pjgwx#OMICS_03225#RRID:SCR_006963#RRID:nlx_149236,2 Life Sciences#202 Plant Sciences#20207 Plant Genetics#21 Biology,biology#expression profiling#genetics#genomics#genotype#pathway,,
Aktuelle Wetter- und Klimawerte deutscher Stationen,RRID:SCR_003611#RRID:nlx_157759,3 Natural Sciences#313 Atmospheric Science and Oceanography#31301 Atmospheric Science#34 Geosciences (including Geography),average daily temperature#average monthly temperature#barometric pressure#barometric pressure tendency#maximum daily temperature#minimum daily temperature#precipitation 12 hours#precipitation monthly,FTP,
Androgen Receptor Mutations Database,RRID:SCR_006887#RRID:nif-0000-02547,"2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#205 Medicine#20502 Public Health, Health Services Research, Social Medicine#21 Biology#22 Medicine",AR - androgen receptor#cancer#gene mutation#genetics#mutation#pathogenicity,,
"Harvard Medical School, Library of Integrated Network-Based Cellular Signatures Database",RRID:SCR_006454#RRID:nlx_156062,2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#20104 Structural Biology#21 Biology,antibodies#biochemistry#biology#cells#experimental reagents#molecular signatures#proteins#small molecules reagents,,ISA-Tab#MIBBI - Minimum Information for Biological and Biomedical Investigations
Data and Specimen Hub,FAIRsharing_DOI:10.25504/FAIRsharing.dYSI4O#RRID:SCR_016314,"1 Humanities and Social Sciences#111 Social Sciences#12 Social and Behavioural Sciences#2 Life Sciences#204 Microbiology, Virology and Immunology#20405 Immunology#205 Medicine#20502 Public Health, Health Services Research, Social Medicine#20503 Human Genetics#20509 Pharmacology#20520 Pediatric and Adolescent Medicine#20521 Gynaecology and Obstetrics#20522 Reproductive Medicine/Biology#21 Biology#22 Medicine","HIV/AIDS#biomedical science#biospecimens#clinical studies#critical care medicine#data governance#data management#data submission, annotation, and curation#demographics#drug#environmental samples#medical trials#musculoskeletal medicine#obstetrics#reproductive health",,
"CGIAR Research Program on Forests, Trees and Agroforestry Dataverse",,"2 Life Sciences#202 Plant Sciences#20207 Plant Genetics#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#20710 Basic Forest Research#21 Biology#23 Agriculture, Forestry, Horticulture and Veterinary Medicine",Africa#America#Asia#biodiversity#physical sciences,,DDI - Data Documentation Initiative
National Forestry Database,,"2 Life Sciences#202 Plant Sciences#20202 Plant Ecology and Ecosystem Analysis#203 Zoology#20303 Animal Ecology, Biodiversity and Ecosystem Research#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#20709 Inventory Control and Use of Forest Resources#20710 Basic Forest Research#21 Biology#23 Agriculture, Forestry, Horticulture and Veterinary Medicine#23 Agriculture, Forestry, Horticulture and Veterinary Medicine",forest fires#forest inventory#forest products#pest control#silviculture#wood supply,,FGDC/CSDGM - Federal Geographic Data Committee Content Standard for Digital Geospatial Metadata
Geo Big Data Open Platform,,"3 Natural Sciences#314 Geology and Palaeontology#31401 Geology and Palaeontology#315 Geophysics and Geodesy#31501 Geophysics#31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy#316 Geochemistry, Mineralogy and Crystallography#31601 Geochemistry, Mineralogy and Crystallography#34 Geosciences (including Geography)",mineral resources#oil seabed#sediments,REST,Dublin Core
NCEP/NCAR Reanalysis Project,,3 Natural Sciences#313 Atmospheric Science and Oceanography#315 Geophysics and Geodesy#34 Geosciences (including Geography),atmosphere#climate#earth#meteorology#precipitation#temperature#weather,FTP#NetCDF,
WATCH,,3 Natural Sciences#313 Atmospheric Science and Oceanography#318 Water Research#34 Geosciences (including Geography),atmosphere#carbon#circulation#earth system#energy cycle#hydrology#sediment#water,NetCDF,
Arca Dados,doi:10.35078,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,biodiversity#bioengineering#biomedicine#clinical studies#ecology#environmental science#epidemiology#health care#health education#history#human rights#innovation#microbiology#multidisciplinary#public health#social inequalities#unified health system (SUS)#vaccines,REST#SWORD,DDI - Data Documentation Initiative#DataCite Metadata Schema#Dublin Core#OAI-ORE - Open Archives Initiative Object Reuse and Exchange
Journal of Cell Biology - JCB DataViewer,RID:nlx_156057#RRID:SCR_002633,2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#205 Medicine#20504 Physiology#20509 Pharmacology#206 Neurosciences#21 Biology#22 Medicine,biochemistry#cell culture#cell cycle#developmental biology#developmental cytology#embryology#histology#imaging systems in biology#imaging systems in medicine#microscopes#microscopy#molecular biology#neurobiology#resolution (optics)#ultrastructure (biology),,
